,node.objClass,pedestrian_count,node.serialno,node.time,date,year,month,day,location,event,Date,Mean_Temp,Total_Precip,Rain,Snow
0,pedestrian,3272.0,SWLSANDBOX1,2019-02-20T00:00:00-05:00,2019-02-20,2019,02,20,streetscape,Event,2019-02-20,-5.9,1.2,1.0,0.0
1,pedestrian,158.0,SWLSANDBOX1,2019-02-21T00:00:00-05:00,2019-02-21,2019,02,21,streetscape,Not event,2019-02-21,-0.1,0.0,0.0,0.0
2,pedestrian,83.0,SWLSANDBOX1,2019-02-22T00:00:00-05:00,2019-02-22,2019,02,22,streetscape,Not event,2019-02-22,-1.7,0.0,0.0,0.0
3,pedestrian,8.0,SWLSANDBOX1,2019-02-23T00:00:00-05:00,2019-02-23,2019,02,23,streetscape,Not event,2019-02-23,-1.6,0.0,0.0,0.0
4,pedestrian,6.0,SWLSANDBOX1,2019-02-24T00:00:00-05:00,2019-02-24,2019,02,24,streetscape,Not event,2019-02-24,1.9,6.8,6.2,0.6
5,pedestrian,834.0,SWLSANDBOX1,2019-02-25T00:00:00-05:00,2019-02-25,2019,02,25,streetscape,Not event,2019-02-25,-5.6,1.0,0.0,1.8
6,pedestrian,493.0,SWLSANDBOX1,2019-02-26T00:00:00-05:00,2019-02-26,2019,02,26,streetscape,Not event,2019-02-26,-8.2,0.0,0.0,0.0
7,pedestrian,0.0,SWLSANDBOX1,2019-02-27T00:00:00-05:00,2019-02-27,2019,02,27,streetscape,Not event,2019-02-27,-10.6,17.6,0.0,18.4
8,pedestrian,86.0,SWLSANDBOX1,2019-02-28T00:00:00-05:00,2019-02-28,2019,02,28,streetscape,Not event,2019-02-28,-12.1,0.0,0.0,0.0
9,pedestrian,1562.0,SWLSANDBOX1,2019-03-01T00:00:00-05:00,2019-03-01,2019,03,01,streetscape,Not event,2019-03-01,-7.0,0.0,0.0,0.0
10,pedestrian,5611.0,SWLSANDBOX1,2019-03-02T00:00:00-05:00,2019-03-02,2019,03,02,streetscape,Event,2019-03-02,-3.6,4.4,0.0,4.0
11,pedestrian,321.0,SWLSANDBOX1,2019-03-03T00:00:00-05:00,2019-03-03,2019,03,03,streetscape,Not event,2019-03-03,-5.6,0.4,0.0,0.4
